1|1-2-1 Discipleship - Christine Dillon|978-1-84550-425-0|12|9
2|Alison, Alison…A Grasp for Eternity - Darrell Eddy|1-929-1-929122-57-8|10|7.5
3|Ascent to the Tribes - Isobel Kuhn|1929122012| 13.00 |9.75
4|A Martyr's Grace - Marvin J. Newell|802478298| 16.00 |12
5|Against All Odds - Elizabeth Goldsmith|1-85078-759-X| 15.00 |11.25
6|Alive Inside Out - English/Chinese Bilingual|978-962-86660-6-5| 15.00 |11.25
7|A Year in China - V. Sack|978-1-85078-815-7| 15.00 |11.25
8|Behind the Ranges - Story of J.O. Fraser|978-981-3009-13-4| 10.00 |7.5
9|Biography of John Sung - Leslie T. Lyall|9814138193| 14.00 |10.5
10|Born for Battle - A. Mathews|1929122063| 10.00 |7.5
11|Boy’s War - D. Michell|9971972719| 10.00 |7.5
12|Briefings: China – Glenn Myers|1850785503| 6.00 |4.5
13|Briefings: The Golden Triangle & Japan – Glenn Myers|1850786100| 6.00 |4.5
14|Briefings: The Rim of Fire – Glenn Myers|1850782989| 6.00 |4.5
15|By Searching - I. Kuhn|1929122098| 10.00 |7.5
16|Changing China - Opening Windows to the West|877888884| 10.00 |7.5
17|Children of the Hills - Isobel Kuhn|1929122004| 10.00 |7.5
18|China's Christian Millions Revised - Tony Lambert|1854244310| 15.00 |11.25
19|China Resource Handbook|CRH0006F6| 20.00 |15
20|Christ Alone (bilingual)|109628402056FB| 30.00 |22.5
21|China: The Reluctant Exodus - Phyllis Thompson|875085415| 7.00 |5.25
22|Daughters of Islam - M . Adeney|0-85-111-2602| 18.00 |13.5
23|Dawn Harvest - Patrick Hobbs|978-971-009-014-3| 15.00 |11.25
24|Dawn Reapers - Patrick Hobbs|978-971-009-207-9| 15.00 |11.25
25|Developing Indigenous Leaders - Paul H. De Neul Editor|9-780878-080403| 16.00 |12
26|Discipling Your Mainland Chinese Neighbors - D. Vavrasky|1-929122-14-4| 6.00 |4.5
27|Enjoying Intimacy with God - J.O. Sanders|1572930675| 14.00 |10.5
28|Enjoying Your Best Years - J.O. Sanders|929239636| 14.00 |10.5
29|Equipping for Missions - Daniel W. Bacon|1929122209| 10.00 |7.5
30|Eric Liddell - Catherine Swift|1556611501| 9.00 |6.75
31|Eric Liddell: Pure Gold -David McCasland|1572931302| 20.00 |15
32|Every Life a Plan of God - J.O. Sanders|946616833| 14.00 |10.5
33|Family Matters|0-85363-163-7| 10.00 |7.5
34|Fire Within - Wu Xung|1850783551| 17.00 |12.75
32|Get a Grip on Mission - Martin Goldsmith|9781844741267| 20.00 |15
33|God That’s Not Fair - Dick Dowsett - REPRINT|903843692| 12.00 |9
34|God's Faithfulness Hard Cover|978-0-85363-160-6| 19.00 |14.25
35|God's Faithfulness Soft Cover|978-0-85363-161-3| 15.00 |11.25
33|God's Mimic - Carol Ferguson|1412044286| 20.00 |15
34|God's Vagabond - S. Custer|1-929122-25-X| 15.00 |11.25
35|Glory in Mongolia - R. Leatherwood|878083685| 16.00 |12
36|Grace and Gratitude - Autobiography of Mary W.J. Tay|9-789-814-305747| 16.00 |12
34|Grasping Heaven: Tami L. Fisk - Wilder-Smith|981-4270-19-9| 15.00 |11.25
35|Great Commission - Rose Dowsett|1854245155| 13.00 |9.75
36|Green Leaf in Drought - I. Kuhn|1-92912-208-X| 10.00 |7.5
37|Heart of Godly Leadership - Allan Webb|957877935| 15.00 |11.25
35|Heaven, Better By Far - J.O. Sanders|0-929239-725| 14.00 |10.5
36|Help My Halo is Slipping – Larry Dinkins|9971972964| 10.00 |7.5
37|How Firm a Foundation - Various|TCBS001| 8.00 |6
38|HT's Man in Christ|1-85078-4081FB| 24.00 |18
36|H. Taylor: 1 Growth of Soul, 2 Gr. Of Work of God (set)|9971972638| 35.00 |26.25
37|Hudson Taylor's Spiritual Secret - Taylor|929239202| 13.00 |9.75
38|Hudson Taylor's Spiritual Secret - Revised by Gwen Hanna|9781929122325| 10.00 |7.5
39|In Japan the Crickets Cry – Ron Clements & Steve Metcalf|978-1-85424-970-8| 15.00 |11.25
37|In the Arena - I. Kuhn|9971972190| 10.00 |7.5
38|Jonathan in the Middle Kingdom - Edited by Tewksbury|1929122179| 8.00 |6
39|Jesus Says Go - Robin Wells|1854245562| 12.00 |9
40|Killing Fields, Living Fields (New Edition)|978-1-84550-511-0| 15.00 |11.25
38|Lambs Dancing with Wolves - Michael Griffiths (Reprint)|1854245058| 12.00 |9
